programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Pre-master Kunst- & cultuurwetenschappen: Tourism and Culture,Algemene Cultuurwetenschappen,Arts and Culture Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56823,1001O6045,8ad5762d-8b35-4ed8-b06b-6342e5c22a5b,VOLTIJD,ENG,Nijmegen,,Pre-master Kunst- & cultuurwetenschappen: Tourism and Culture | Algemene Cultuurwetenschappen | Arts and Culture Studies | Pre-Master's Arts & Culture: Tourism and Culture,1
Pre-master Language Variation and Multilingualism,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,3e059bff-b7bb-49b1-8687-56ed52078a41,VOLTIJD,NLD,Nijmegen,,Pre-master Language Variation and Multilingualism | Taalwetenschap | Linguistics | Pre-Master's Language Variation and Multilingualism,1
Pre-master Language Variation and Multilingualism,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,9c262482-ae97-4fff-9c42-3d6999b4207a,VOLTIJD,ENG,Nijmegen,,Pre-master Language Variation and Multilingualism | Taalwetenschap | Linguistics | Pre-Master's Language Variation and Multilingualism,1
Pre-master Letterkunde: Literair Bedrijf,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56804,1001O6003,d0b26c4b-a51a-414c-a95e-02188b7b19cc,VOLTIJD,NLD,Nijmegen,,Pre-master Letterkunde: Literair Bedrijf | Nederlandse Taal en Cultuur | Dutch Language and Culture | Pre-Master's Literature: The Book Industry,1
Pre-master Letterkunde: Literatuur en Samenleving,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56804,1001O6003,36e6dcde-fdd3-4cb2-a145-8c1e7610d41a,VOLTIJD,NLD,Nijmegen,,Pre-master Letterkunde: Literatuur en Samenleving | Nederlandse Taal en Cultuur | Dutch Language and Culture | Pre-Master's Literature: Literature and Society,1
Pre-master Nederlands als Tweede Taal: Docent en Expert,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,cc2f48b3-a080-4033-a212-0ec35759fa3b,VOLTIJD,NLD,Nijmegen,,Pre-master Nederlands als Tweede Taal: Docent en Expert | Taalwetenschap | Linguistics | Pre-Master's Dutch as a Second Language: Teacher and Expert,1
"Pre-master Noord-Amerika Studies:Transatlantic Studies: History, Culture and Politics",English Language and Culture,English Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,50290,1001O5672,fa46e276-7891-4838-bbd8-a39cd3b50c86,VOLTIJD,ENG,Nijmegen,,"Pre-master Noord-Amerika Studies:Transatlantic Studies: History, Culture and Politics | English Language and Culture | Pre-Master's North American Studies: Transatlantic Studies History, Culture and Politics",1
Pre-master Oudheidstudies: Klassieke Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56003,1001O5809,0e963e3b-a420-4691-ae37-b9c952ca8770,VOLTIJD,NLD,Nijmegen,,Pre-master Oudheidstudies: Klassieke Cultuur | Griekse en Latijnse Taal en Cultuur | Classics | Pre-Master's Classics & Ancient Civilizations: Classical Culture,1
Pre-master Oudheidstudies: Romeinse Archeologie,Griekse en Latijnse Taal en Cultuur,Classics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56003,1001O5809,22954522-347d-4ce2-aa86-88166c2bf586,VOLTIJD,NLD,Nijmegen,,Pre-master Oudheidstudies: Romeinse Archeologie | Griekse en Latijnse Taal en Cultuur | Classics | Pre-Master's Classics & Ancient Civilizations: Roman Archeology,1
Pre-master Taal- en Communicatietechnologie,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,21b32b63-9cc8-460d-834a-844b490bb589,VOLTIJD,NLD,Nijmegen,,Pre-master Taal- en Communicatietechnologie | Taalwetenschap | Linguistics | Pre-Master's Language and Communication Technology,1
