programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Data Science and Society,Data Science and Society,Data Science and Society,Rijksuniversiteit Groningen,50982,1001O8744,e105b951-f50c-47d6-b509-65bdf8c9c351,VOLTIJD,ENG,Leeuwarden,,Data Science and Society,1
Econometrie en Operationele Research,Econometrie en Operationele Research,Econometrics and Operations Research,Rijksuniversiteit Groningen,56833,1001O6076,1c629a16-101a-4443-ab12-892186c9947b,VOLTIJD,ENG,Groningen,,Econometrie en Operationele Research | Econometrics and Operations Research,1
Economie en Bedrijfseconomie,Economie en Bedrijfseconomie,Economics and Business Economics,Rijksuniversiteit Groningen,50950,1001O5761,a4d4cf7e-8e74-41fc-a8a3-4c66cc26b871,VOLTIJD,ENG,Groningen,,Economie en Bedrijfseconomie | Economics and Business Economics,1
English Language and Culture,English Language and Culture,English Language and Culture,Rijksuniversiteit Groningen,50290,1001O5670,30e12bfc-0a6c-4405-b9a4-44d36fc73867,VOLTIJD,ENG,Groningen,,English Language and Culture,1
Europese Talen en Culturen,Europese Talen en Culturen,European Languages and Cultures,Rijksuniversiteit Groningen,56124,1001O5866,82208812-6628-4218-9bc3-75899aa22507,VOLTIJD,ENG,Groningen,,Europese Talen en Culturen | European Languages and Cultures,1
Europese Talen en Culturen,Europese Talen en Culturen,European Languages and Cultures,Rijksuniversiteit Groningen,56124,1001O5866,ae66d52f-a2cd-4901-a3d9-758d1def7154,VOLTIJD,NLD,Groningen,,Europese Talen en Culturen | European Languages and Cultures,1
Farmacie,Farmacie,Pharmacy,Rijksuniversiteit Groningen,56157,1001O5867,2de276ca-433d-4a84-babe-b435e9555aab,VOLTIJD,NLD,Groningen,,Farmacie | Pharmacy,1
Farmacie,Farmacie,Pharmacy,Rijksuniversiteit Groningen,56157,1001O5867,f2a7d2df-97be-4bda-8e64-b19bd24a65ba,VOLTIJD,ENG,Groningen,,Farmacie | Pharmacy,1
Filosofie,Filosofie,Philosophy,Rijksuniversiteit Groningen,56081,1001O5838,c2a1f8aa-50aa-4915-9af1-b8737d4efa4b,VOLTIJD,NLD,Groningen,,Filosofie | Philosophy,1
Geneeskunde,Geneeskunde,Medicine,Rijksuniversiteit Groningen,56551,1001O5904,f3168827-5498-49fe-b6a3-de8e1d1770fd,VOLTIJD,NLD,Groningen,,Geneeskunde | Medicine,1
Geschiedenis,Geschiedenis,History,Rijksuniversiteit Groningen,56034,1001O5817,b49220e3-6bad-4151-bc7b-26353b11b190,VOLTIJD,ENG,Groningen,,Geschiedenis | History,1
Geschiedenis,Geschiedenis,History,Rijksuniversiteit Groningen,56034,1001O5817,bca85496-aabf-4684-a7c9-c8f94ad39a36,VOLTIJD,NLD,Groningen,,Geschiedenis | History,1
Global Responsibility and Leadership,Global Responsibility and Leadership,Global Responsibility and Leadership,Rijksuniversiteit Groningen,59327,1001O6236,f41491f0-8793-4090-affb-54b5d73e445a,VOLTIJD,ENG,Leeuwarden,,Global Responsibility and Leadership,1
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Rijksuniversiteit Groningen,56003,1001O5806,732193a9-b696-4e7b-a9a0-58d9a21d9cb0,VOLTIJD,NLD,Groningen,,Griekse en Latijnse Taal en Cultuur | Classics,1
Human Geography and Planning,Human Geography and Planning,Human Geography and Planning,Rijksuniversiteit Groningen,50974,1001O5774,3c9ac13b-3f3a-40f7-93d4-277ac2b1ba0a,VOLTIJD,ENG,Groningen,,Human Geography and Planning,1
Informatica,Informatica,Computing Science,Rijksuniversiteit Groningen,56978,1001O6170,4ff92595-5040-4b1d-99dc-1db05424ff79,VOLTIJD,ENG,Groningen,,Informatica | Computing Science,2
Informatiekunde,Informatiekunde,Information Science,Rijksuniversiteit Groningen,56842,1001O6095,1a541905-4b5d-41d9-9843-6090ba5cce64,VOLTIJD,ENG,Groningen,,Informatiekunde | Information Science,1
Informatiekunde,Informatiekunde,Information Science,Rijksuniversiteit Groningen,56842,1001O6095,2094d140-1f9f-4c1b-97dc-24e7fe031ce7,VOLTIJD,NLD,Groningen,,Informatiekunde | Information Science,1
International and European Law,International and European Law,International and European Law,Rijksuniversiteit Groningen,56829,1001O6072,06bd2460-2125-4500-b1ec-430a1c182b3f,VOLTIJD,ENG,Groningen,,International and European Law,1
International Business,International Business,International Business,Rijksuniversiteit Groningen,50019,1001O5642,0e47b3a5-ccd2-4f65-945c-3af5415fa0e5,VOLTIJD,ENG,Groningen,,International Business,1
Internationale Betrekkingen en Internationale Organisatie,Internationale Betrekkingen en Internationale Organisatie,International Relations and International Organization,Rijksuniversiteit Groningen,50627,1001O5706,0611d762-fbeb-447b-a5d3-94fbd74157a0,VOLTIJD,ENG,Groningen,,Internationale Betrekkingen en Internationale Organisatie | International Relations and International Organization,1
"Kunsten, Cultuur en Media","Kunsten, Cultuur en Media","Arts, Culture and Media",Rijksuniversiteit Groningen,50629,1001O5707,9e23a930-ecf9-4d34-8d18-e67f01e7a0bd,VOLTIJD,NLD,Groningen,,"Kunsten, Cultuur en Media | Arts, Culture and Media",1
"Kunsten, Cultuur en Media","Kunsten, Cultuur en Media","Arts, Culture and Media",Rijksuniversiteit Groningen,50629,1001O5707,a8535621-e4bd-4c12-ae3e-c6f3c9faa529,VOLTIJD,ENG,Groningen,,"Kunsten, Cultuur en Media | Arts, Culture and Media",1
Kunstgeschiedenis,Kunstgeschiedenis,Art History,Rijksuniversiteit Groningen,56824,1001O6049,1e81842f-4493-4002-9e06-0969c894d7bb,VOLTIJD,ENG,Groningen,,Kunstgeschiedenis | Art History,1
Kunstmatige Intelligentie,Kunstmatige Intelligentie,Artificial Intelligence,Rijksuniversiteit Groningen,56981,1001O6182,4b74ef4f-fecd-4f5b-8d01-03ea19860504,VOLTIJD,ENG,Groningen,,Kunstmatige Intelligentie | Artificial Intelligence,2
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Rijksuniversiteit Groningen,50393,1001O5680,fa0baf5c-377f-4622-896c-bfa4e794154c,VOLTIJD,ENG,Groningen,,Liberal Arts and Sciences,1
Life Science and Technology,Life Science and Technology,Life Science and Technology,Rijksuniversiteit Groningen,56286,1001O5878,9f4f3fca-05c4-424b-a789-30599628e4fe,VOLTIJD,ENG,Groningen,,Life Science and Technology,2
Media en Cultuur,Media en Cultuur,Media Studies,Rijksuniversiteit Groningen,50906,1001O5757,046b499c-6c6e-406e-a89d-7b12857ebf4d,VOLTIJD,ENG,Groningen,,Media en Cultuur | Media Studies,1
Midden-Oostenstudies,Midden-Oostenstudies,Middle Eastern Studies,Rijksuniversiteit Groningen,56098,1001O5847,682fe0e8-824a-4092-86e4-60eddcb11fe5,VOLTIJD,NLD,Groningen,,Midden-Oostenstudies | Middle Eastern Studies,1
Minorities & Multilingualism,Minorities & Multilingualism,Minorities & Multilingualism,Rijksuniversiteit Groningen,56012,1001O5810,d3f89b01-47e8-45a6-9784-af4673f05905,VOLTIJD,ENG,Groningen,,Minorities & Multilingualism,1
Natuurkunde,Natuurkunde,Physics,Rijksuniversiteit Groningen,50206,1001O5666,c31383d8-c766-4d04-8dc8-7b45c862b083,VOLTIJD,ENG,Groningen,,Natuurkunde | Physics,1
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Rijksuniversiteit Groningen,56804,1001O5999,0a7af361-bc30-4c15-8bf4-0e56c08fa50b,VOLTIJD,NLD,Groningen,,Nederlandse Taal en Cultuur | Dutch Language and Culture,1
Nederlandse Talen en Culturen,Nederlandse Talen en Culturen,Dutch Languages and Cultures,Rijksuniversiteit Groningen,50479,1016O2817,14ed6072-b520-4b71-b182-a3a05e42349c,VOLTIJD,NLD,Groningen,,Nederlandse Talen en Culturen | Dutch Languages and Cultures,1
Pedagogische Wetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Rijksuniversiteit Groningen,56607,1001O5944,e97b8534-977e-42e8-880e-a0ee0544879c,VOLTIJD,NLD,Groningen,,Pedagogische Wetenschappen | Pedagogical Sciences,1
Psychologie,Psychologie,Psychology,Rijksuniversiteit Groningen,56604,1001O5929,4ab3b08b-8e82-4cb5-ac50-8e55c3a64810,VOLTIJD,ENG,Groningen,,Psychologie | Psychology,1
Psychologie,Psychologie,Psychology,Rijksuniversiteit Groningen,56604,1001O5929,6f88b5d5-d5af-4775-b07a-87773fd3535b,VOLTIJD,NLD,Groningen,,Psychologie | Psychology,1
Rechtsgeleerdheid,Rechtsgeleerdheid,Dutch Law,Rijksuniversiteit Groningen,50700,1001O5725,048b86d5-80b4-47c6-b575-2978bc2c9676,VOLTIJD,NLD,Groningen,,Rechtsgeleerdheid | Dutch Law,1
Rechtsgeleerdheid,Rechtsgeleerdheid,Dutch Law,Rijksuniversiteit Groningen,50700,1001O5725,9b40f5fa-8bae-4ebc-a6dd-7fef966024ff,VOLTIJD,NLD,Leeuwarden,,Rechtsgeleerdheid | Dutch Law,1
Religiewetenschappen,Religiewetenschappen,Religious Studies,Rijksuniversiteit Groningen,50902,1001O5751,1ae42d82-855c-4125-8003-9e75ec2d1418,VOLTIJD,ENG,Groningen,,Religiewetenschappen | Religious Studies,1
Religiewetenschappen,Religiewetenschappen,Religious Studies,Rijksuniversiteit Groningen,50902,1001O5751,e8c968b9-ccc9-4d44-9583-ec3d6611faf4,VOLTIJD,NLD,Groningen,,Religiewetenschappen | Religious Studies,1
Scheikunde,Scheikunde,Chemistry,Rijksuniversiteit Groningen,56857,1001O6112,b278c846-17eb-40fc-b4dc-2c5fe409e4ff,VOLTIJD,ENG,Groningen,,Scheikunde | Chemistry,1
Scheikundige Technologie,Scheikundige Technologie,Chemical Engineering,Rijksuniversiteit Groningen,56960,1001O6149,9aeec357-869f-4b56-8a9b-d04c4fb71643,VOLTIJD,ENG,Groningen,,Scheikundige Technologie | Chemical Engineering,1
Sociologie,Sociologie,Sociology,Rijksuniversiteit Groningen,56601,1001O5921,4f52b521-015b-4986-80e1-14fa94119715,VOLTIJD,NLD,Groningen,,Sociologie | Sociology,1
Spatial Planning and Design,Spatial Planning and Design,Spatial Planning and Design,Rijksuniversiteit Groningen,56194,1001O5869,72204c16-0a8f-45c5-af36-dbb02f13ce44,VOLTIJD,ENG,Groningen,,Spatial Planning and Design,2
Sterrenkunde,Sterrenkunde,Astronomy,Rijksuniversiteit Groningen,50205,1001O5664,49ee7fec-702e-4e02-9c34-7b2446790af0,VOLTIJD,ENG,Groningen,,Sterrenkunde | Astronomy,2
Taalwetenschap,Taalwetenschap,Linguistics,Rijksuniversiteit Groningen,56803,1001O5993,86479170-43cd-40ad-8474-91de4abf6db7,VOLTIJD,NLD,Groningen,,Taalwetenschap | Linguistics,1
Tandheelkunde,Tandheelkunde,Dentistry,Rijksuniversiteit Groningen,56560,1001O5915,6e8348de-66e7-4c14-a350-eaf7036dc9fe,VOLTIJD,NLD,Groningen,,Tandheelkunde | Dentistry,1
Technische Bedrijfskunde,Technische Bedrijfskunde,Industrial Engineering & Management,Rijksuniversiteit Groningen,56994,1001O6210,2e3fcbfe-87d1-459e-8e76-1ca4e72334d0,VOLTIJD,ENG,Groningen,,Technische Bedrijfskunde | Industrial Engineering & Management,2
Technische Natuurkunde,Technische Natuurkunde,Applied Physics,Rijksuniversiteit Groningen,56962,1001O6152,58bd2539-41a9-4207-bbdf-4fa471f7d6d0,VOLTIJD,ENG,Groningen,,Technische Natuurkunde | Applied Physics,1
Technische Wiskunde,Technische Wiskunde,Applied Mathematics,Rijksuniversiteit Groningen,56965,1001O6160,bb901d8a-76d9-4e7c-9b49-689fba25f0c2,VOLTIJD,ENG,Groningen,,Technische Wiskunde | Applied Mathematics,1
Theologie,Theologie,Theology,Rijksuniversiteit Groningen,56109,1001O5855,28e85f49-4d08-4793-b0e8-70c2c7d6db09,VOLTIJD,NLD,Groningen,,Theologie | Theology,1
Wiskunde,Wiskunde,Mathematics,Rijksuniversiteit Groningen,56980,1001O6177,ee1d0182-8a04-4521-a377-8d18c941594a,VOLTIJD,ENG,Groningen,,Wiskunde | Mathematics,1
Werktuigbouwkunde,Werktuigbouwkunde,Mechanical Engineering,Technische Universiteit Eindhoven,56966,1001O6165,0e0bba73-9b38-76e4-e063-6f2ba8c08759,VOLTIJD,ENG,Eindhoven,,Werktuigbouwkunde | Mechanical Engineering,1
Bachelor Theologie,Theologie,,Theologische Universiteit Apeldoorn,56109,1001O5859,e4de27b6-ec9d-46b7-a9f0-7ade138b1ed3,VOLTIJD,NLD,Apeldoorn,https://www.tua.nl/nl/onderwijs/o/bachelor-theologie,Bachelor Theologie | Theologie,1
Theologie,Theologie,,Theologische Universiteit Utrecht,56109,1001O5860,777f6dae-c9bd-458e-9750-6f3ba66e8f69,VOLTIJD,NLD,Utrecht,,Theologie,1
Algemene Cultuurwetenschappen,Algemene Cultuurwetenschappen,Culture Studies,Tilburg University,56823,1001O6046,65b743d9-46e0-4f63-b7f1-8d0b10bbe2b5,VOLTIJD,NLD,Tilburg,,Algemene Cultuurwetenschappen | Culture Studies,1
Cognitive Science and Artificial Intelligence,Cognitive Science and Artificial Intelligence,Cognitive Science and Artificial Intelligence,Tilburg University,59338,1001O6245,fe0190e9-546b-4687-a488-8798a97fc4be,VOLTIJD,ENG,Tilburg,,Cognitive Science and Artificial Intelligence,1
Communicatie- en Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Sciences,Tilburg University,56826,1001O6060,98ad9ed3-ecd3-4217-9844-b2453d4c45d1,VOLTIJD,NLD,Tilburg,,Communicatie- en Informatiewetenschappen | Communication and Information Sciences,1
Econometrie en Operationele Research,Econometrie en Operationele Research,Econometrics and Operations Research,Tilburg University,56833,1001O6081,f642259f-1a46-4c7d-af4d-e4b4ea55bb48,VOLTIJD,ENG,Tilburg,,Econometrie en Operationele Research | Econometrics and Operations Research,1
Economics,Economie,Economics,Tilburg University,56401,1001O5883,e6bf9ead-7188-43ee-b800-72671f459690,VOLTIJD,ENG,Tilburg,,Economics | Economie,1
Economie en Bedrijfseconomie,Economie en Bedrijfseconomie,Economics and Business Economics,Tilburg University,50950,1001O5767,be3575d2-95c5-48fb-9ced-dba6f01a39d0,VOLTIJD,NLD,Tilburg,,Economie en Bedrijfseconomie | Economics and Business Economics,1
Entrepreneurship and Business Innovation,Entrepreneurship and Business Innovation,Entrepreneurship and Business Innovation,Tilburg University,59340,1001O6247,70a504d4-da6a-4ed9-93c4-928e91f14059,VOLTIJD,ENG,Tilburg,,Entrepreneurship and Business Innovation,1
Filosofie,Filosofie,Philosophy,Tilburg University,56081,1001O5844,3d460953-694f-4cbe-95a9-c95868f9573c,VOLTIJD,NLD,Tilburg,,Filosofie | Philosophy,1
Global Law,Global Law,Global Law,Tilburg University,56475,1001O5902,0e31fa43-a733-4ee4-b2b3-7f68a245d0c1,VOLTIJD,ENG,Tilburg,,Global Law,1
International Business Administration,International Business Administration,International Business Administration,Tilburg University,50952,1001O5773,83ed252b-2d40-4deb-9942-245a5a6f48a7,VOLTIJD,ENG,Tilburg,,International Business Administration,1
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Tilburg University,50393,1001O5686,55d1ea5d-f95e-4a70-974a-31f6bb61f32d,VOLTIJD,ENG,Tilburg,,Liberal Arts and Sciences,1
Theologie,Theologie,Theology,Tilburg University,56109,1001O5858,7a3f3634-f5b8-47bd-8d43-3c9dcd72fb45,VOLTIJD,ENG,Utrecht,,Theologie | Theology,1
Theologie,Theologie,Theology,Tilburg University,56109,1001O5858,aef8281f-a56c-468f-bf61-3a17f47bf374,VOLTIJD,ENG,Tilburg,,Theologie | Theology,1
African Studies,African Studies,African Studies,Universiteit Leiden,56821,1001O6041,a62cb339-7da0-4065-b548-454638f4a878,VOLTIJD,ENG,Leiden,,African Studies,1
Archeologie,Archeologie,Archaeology,Universiteit Leiden,56703,1001O5978,9302e80d-d9bd-417c-bd9f-707a5023a8df,VOLTIJD,NLD,Leiden,,Archeologie | Archaeology,1
Bestuurskunde,Bestuurskunde,Public Administration,Universiteit Leiden,56627,1001O5965,936b2d9f-d706-43ab-be6c-0cc3e3e4c9a0,VOLTIJD,NLD,'s-Gravenhage,,Bestuurskunde | Public Administration,1
Bio-Farmaceutische Wetenschappen,Bio-Farmaceutische Wetenschappen,,Universiteit Leiden,50207,1001O5667,daa76097-745b-4ce4-add8-3769548f359e,VOLTIJD,NLD,Leiden,,Bio-Farmaceutische Wetenschappen | Bio-Pharmaceutical Sciences,1
Biologie,Biologie,Biology,Universiteit Leiden,56860,1001O6117,62bcefb3-ce80-4f36-a0de-8c141d886cf8,VOLTIJD,NLD,Leiden,,Biologie | Biology,1
Biomedische Wetenschappen,Biomedische Wetenschappen,,Universiteit Leiden,56990,1001O6203,3282d4c3-9710-43a9-b8ac-7195b996fe99,VOLTIJD,NLD,Leiden,,Biomedische Wetenschappen | Biomedical Science,1
Chinastudies,Chinastudies,Chinese Studies,Universiteit Leiden,56818,1001O6038,7ec304b7-5cc0-4311-9cbe-04538dd60aa6,VOLTIJD,NLD,Leiden,,Chinastudies | Chinese Studies,1
Criminologie,Criminologie,,Universiteit Leiden,56469,1001O5899,a9549a79-15f5-4667-9dea-35a7730a8be7,VOLTIJD,NLD,Leiden,,Criminologie | Criminology,1
Cultural Anthropology and Development Sociology,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Universiteit Leiden,50035,1001O5651,fa3a2734-93de-418f-9a9c-a8b76e6e23a3,VOLTIJD,NLD,Leiden,,Cultural Anthropology and Development Sociology | Culturele Antropologie en Ontwikkelingssociologie,1
Cybersecurity & Cybercrime,Cybersecurity & Cybercrime,Cybersecurity & Cybercrime,Universiteit Leiden,59348,1001O8924,edd060e9-1f6d-4023-8e68-ebe55d5989a7,VOLTIJD,NLD,'s-Gravenhage,,Cybersecurity & Cybercrime,1
Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Universiteit Leiden,50300,1001O5674,a42b6f7f-b207-40c8-8655-9db3cf9ecadf,VOLTIJD,ENG,Leiden,,Data Science and Artificial Intelligence,1
Duitse Taal en Cultuur,Duitse Taal en Cultuur,,Universiteit Leiden,56805,1001O6004,6c2c1673-374e-41e5-b5c7-e2f9b1e4e050,VOLTIJD,NLD,Leiden,,Duitse Taal en Cultuur | German Language and Culture,1
Economie en Samenleving,Economie & Samenleving,Economics & Society,Universiteit Leiden,50996,1001O8921,4b7ca1e3-7b76-44b9-91d7-5cba443515c4,VOLTIJD,NLD,'s-Gravenhage,,Economie en Samenleving | Economie & Samenleving | Economics & Society | Economics and Society,1
English Language and Culture,Engelse Taal en Cultuur,,Universiteit Leiden,56806,1001O6010,6ae30079-4cd6-43ff-bb20-ff67d9f33284,VOLTIJD,ENG,Leiden,,English Language and Culture | Engelse Taal en Cultuur,1
Film- en Literatuurwetenschap,Film- en Literatuurwetenschap,Film and Literary Studies,Universiteit Leiden,50414,1001O5689,d7731d03-7593-4ed9-9516-65642eb8bb0a,VOLTIJD,NLD,Leiden,,Film- en Literatuurwetenschap | Film and Literary Studies,1
Filosofie,Filosofie,,Universiteit Leiden,56081,1001O5837,f04865ab-07ab-473d-a227-3aebc1358c8a,VOLTIJD,NLD,Leiden,,Filosofie | Philosophy,1
Fiscaal Recht,Fiscaal Recht,Tax Law,Universiteit Leiden,56827,1001O6061,c2311d3c-2fb8-4a92-893b-5857b81f4ced,VOLTIJD,NLD,Leiden,,Fiscaal Recht | Tax Law,1
Franse Taal en Cultuur,Franse Taal en Cultuur,,Universiteit Leiden,56808,1001O6018,45073c5b-1603-4af2-8994-24a755deb82e,VOLTIJD,NLD,Leiden,,Franse Taal en Cultuur | French Language and Culture,1
Geneeskunde,Geneeskunde,Medicine,Universiteit Leiden,56551,1001O5903,25c52901-b71c-4b6b-bf06-ba8b28b9970a,VOLTIJD,NLD,Leiden,,Geneeskunde | Medicine,1
Geschiedenis,Geschiedenis,History,Universiteit Leiden,56034,1001O5816,380b13e0-f7f4-461c-9342-5dba777a873b,VOLTIJD,NLD,Leiden,,Geschiedenis | History,1
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Universiteit Leiden,56003,1001O5805,2e7faf28-7b0b-41ad-9c53-b7316952f79d,VOLTIJD,NLD,Leiden,,Griekse en Latijnse Taal en Cultuur | Classics,1
Informatica,Informatica,Computer Science,Universiteit Leiden,56978,1001O6169,a4812baf-728b-4150-8051-5905a14a0505,VOLTIJD,NLD,Leiden,,Informatica | Computer Science,1
International Studies,International Studies,International Studies,Universiteit Leiden,59316,1001O6229,5148ad1c-e08b-4b33-a0bb-959a46f2c54c,VOLTIJD,ENG,'s-Gravenhage,,International Studies,1
Italiaanse Taal en Cultuur,Italiaanse Taal en Cultuur,,Universiteit Leiden,56809,1001O6023,5e0dcfac-87d7-4241-a306-847fb32b9338,VOLTIJD,NLD,Leiden,,Italiaanse Taal en Cultuur | Italian Language and Culture,1
Japanstudies,Japanstudies,Japanese Studies,Universiteit Leiden,56819,1001O6039,8338f751-e95b-4388-ad31-a079d5489b26,VOLTIJD,NLD,Leiden,,Japanstudies | Japanese Studies,1
Koreastudies,Koreastudies,Korean Studies,Universiteit Leiden,56820,1001O6040,a26947de-77c5-4e7f-b8ec-0f514fdf2b74,VOLTIJD,NLD,Leiden,,Koreastudies | Korean Studies,1
Kunstgeschiedenis,Kunstgeschiedenis,,Universiteit Leiden,56824,1001O6048,cf6ccfea-6aa4-47dc-8026-7a3cb434ed68,VOLTIJD,NLD,Leiden,,Kunstgeschiedenis | Art History,1
Latijns-Amerikastudies,Latijns-Amerikastudies,Latin American Studies,Universiteit Leiden,56052,1001O5831,1719d0f0-80f1-4e9e-9c82-f9f439ca0ce9,VOLTIJD,NLD,Leiden,,Latijns-Amerikastudies | Latin American Studies,1
Liberal Arts and Sciences: Global Challenges,Liberal Arts and Sciences: Global Challenges,,Universiteit Leiden,50429,1001O5696,01471285-05ac-42ee-a8b7-8ed2d5301d8f,VOLTIJD,ENG,'s-Gravenhage,,Liberal Arts and Sciences: Global Challenges,1
Midden-Oostenstudies,Midden-Oostenstudies,Middle Eastern Studies,Universiteit Leiden,56098,1001O5846,f547c15b-e8e0-46bf-badf-3656ef71a46b,VOLTIJD,NLD,Leiden,,Midden-Oostenstudies | Middle Eastern Studies,1
Molecular Science and Technology (joint degree),Molecular Science and Technology (joint degree),,Universiteit Leiden,55009,1001O5791,d0fe8a4d-c5a0-449f-b2a7-0f8aa5bad97e,VOLTIJD,NLD,Leiden,,Molecular Science and Technology (joint degree),1
Natuurkunde,Natuurkunde,Physics,Universiteit Leiden,50206,1001O5665,36df5286-af3f-4bf9-b253-33a2e058deba,VOLTIJD,NLD,Leiden,,Natuurkunde | Physics,1
Nederlandkunde,Nederlandkunde/Dutch Studies,Dutch Studies,Universiteit Leiden,56055,1001O5832,1516a224-9dc7-486c-b4a9-194e29647841,VOLTIJD,NLD,Leiden,,Nederlandkunde | Nederlandkunde/Dutch Studies | Dutch Studies,1
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Universiteit Leiden,56804,1001O5998,f3d4ac08-6c10-41a1-9fd4-55bf8c48f4c9,VOLTIJD,NLD,Leiden,,Nederlandse Taal en Cultuur | Dutch Language and Culture,1
Notarieel Recht,Notarieel Recht,Notarial Law,Universiteit Leiden,56828,1001O6067,2a8b67fc-e8eb-4845-a1b1-2f11864f7170,VOLTIJD,NLD,Leiden,,Notarieel Recht | Notarial Law,1
Oude Nabije Oosten-studies,Oude Nabije Oosten-studies,Ancient Near Eastern Studies,Universiteit Leiden,56123,1001O5865,6b4029a3-29a3-47f3-a843-bbae08a5db15,VOLTIJD,NLD,Leiden,,Oude Nabije Oosten-studies | Ancient Near Eastern Studies,1
Pedagogische Wetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Universiteit Leiden,56607,1001O5943,03adc3e8-6330-44a3-af7c-7c0167a302d9,VOLTIJD,NLD,Leiden,,Pedagogische Wetenschappen | Pedagogical Sciences,1
Politicologie,Politicologie,Political Science,Universiteit Leiden,56606,1001O5939,0ba7c2f3-63cb-4e02-813f-abc71688802f,VOLTIJD,NLD,'s-Gravenhage,,Politicologie | Political Science,1
Politicologie,Politicologie,Political Science,Universiteit Leiden,56606,1001O5939,ef79d6dd-18b5-46f5-aa58-7e95d38c4138,VOLTIJD,NLD,Leiden,,Politicologie | Political Science,1
Psychologie,Psychologie,Psychology,Universiteit Leiden,56604,1001O5928,b3bcc7d2-3569-4f03-bd03-74685fd72253,VOLTIJD,NLD,Leiden,,Psychologie | Psychology,1
Rechtsgeleerdheid,Rechtsgeleerdheid,,Universiteit Leiden,50700,1001O5724,9f454950-1598-4f30-9472-eaad8d2011cb,VOLTIJD,NLD,Leiden,,Rechtsgeleerdheid | Law,1
Religiewetenschappen,Religiewetenschappen,Religious Studies,Universiteit Leiden,50902,1001O5750,4366f339-b9e7-4c10-8ac6-993ddf02c6fb,VOLTIJD,NLD,Leiden,,Religiewetenschappen | Religious Studies,1
Russische Studies,Russische Studies,Russian Studies,Universiteit Leiden,50855,1001O5746,9ff4aca0-5872-4f99-a657-86ef46fcd4dc,VOLTIJD,NLD,Leiden,,Russische Studies | Russian Studies,1
Science for Sustainable Societies,Science for Sustainable Societies,Science for Sustainable Societies,Universiteit Leiden,50474,1001O8926,23783a5b-9606-46aa-8551-9af17c922efb,VOLTIJD,ENG,Leiden,,Science for Sustainable Societies,1
Security Studies,Security Studies,Security Studies,Universiteit Leiden,59320,1001O6231,97b29776-81a7-4cdf-a436-d140e66cb614,VOLTIJD,ENG,'s-Gravenhage,,Security Studies,1
South and Southeast Asian Studies,Zuid- en Zuidoost-Aziëstudies,South and Southeast Asian Studies,Universiteit Leiden,56099,1001O5848,2fc604cd-7bb1-4555-a28f-f2e3094e5b16,VOLTIJD,ENG,Leiden,,South and Southeast Asian Studies | Zuid- en Zuidoost-Aziëstudies,1
Sterrenkunde,Sterrenkunde,Astronomy,Universiteit Leiden,50205,1001O5663,c11036c6-3d5a-46e5-8cf7-77ade229f7c0,VOLTIJD,NLD,Leiden,,Sterrenkunde | Astronomy,1
Taalwetenschap,Taalwetenschap,Linguistics,Universiteit Leiden,56803,1001O5992,317696ce-099e-4d80-ac75-6e9203b4a505,VOLTIJD,NLD,Leiden,,Taalwetenschap | Linguistics,1
Urban Studies,Urban Studies,Urban Studies,Universiteit Leiden,59328,1001O6237,7699cbb2-d1db-4f58-ba2e-c63f7807f00b,VOLTIJD,ENG,'s-Gravenhage,,Urban Studies,1
Wiskunde,Wiskunde,Mathematics,Universiteit Leiden,56980,1001O6176,1eebade1-2fc2-4516-8dbd-395527bc62fb,VOLTIJD,NLD,Leiden,,Wiskunde | Mathematics,1
BA Cultuurwetenschappen,Cultuurwetenschappen,Arts and Culture,Universiteit Maastricht,50004,1001O5622,f03d1769-24ad-4555-bbc6-3f716281f9e8,VOLTIJD,ENG,Maastricht,https://www.maastrichtuniversity.nl/,BA Cultuurwetenschappen | Cultuurwetenschappen | Arts and Culture,1
BA Gezondheidswetenschappen,Gezondheidswetenschappen,Health Sciences,Universiteit Maastricht,56553,1001O5913,9e8eacc4-3955-4fc7-b13f-da424683833f,VOLTIJD,ENG,,https://www.maastrichtuniversity.nl/,BA Gezondheidswetenschappen | Gezondheidswetenschappen | Health Sciences,1
Bachelor Arts and Culture,Cultuurwetenschappen,Arts and Culture,Universiteit Maastricht,50004,1001O5622,5750ee70-382d-4f8c-b825-7882060bb199,VOLTIJD,ENG,Maastricht,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/arts-and-culture,Bachelor Arts and Culture | Cultuurwetenschappen | Arts and Culture,1
