programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Moleculaire Levenswetenschappen,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,56944,1001O6127,114A127,BACHELOR,180,Nijmegen,ENG,,5,Moleculaire Levenswetenschappen | Molecular Life Sciences | Pre-Master's Molecular Sciences: Chemistry of Life | Pre-Master's Molecular Sciences: Medicinal Chemistry | Pre-Master's Molecular Sciences: Molecular Chemistry | Pre-Master's Molecular Sciences: Physical Chemistry | Pre-master Molecular Sciences: Chemistry of Life | Pre-master Molecular Sciences: Medicinal Chemistry | Pre-master Molecular Sciences: Molecular Chemistry | Pre-master Molecular Sciences: Physical Chemistry,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Natural Sciences,Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,56948,1001O6132,114A127,BACHELOR,180,Nijmegen,ENG | NLD,,3,"Natural Sciences | Pre-Master's 1 year Teaching RDA-FNWI Dutch-taught (Mathematics and Physics) | Pre-Master's 1 year Teaching RDA-FNWI English-taught (Biology, MLS en Chemistry) | Pre-master 1 jarige lerarenopleiding RDA-FNWI Engelstalige vakken (Biology, MLS en Chemistry) | Pre-master 1 jarige lerarenopleiding RDA-FNWI Nederlandstalige vakken (Wiskunde en Natuurkunde)",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Natuur- en Sterrenkunde,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,56984,1001O6193,114A127,BACHELOR,180,Nijmegen,NLD,,5,Natuur- en Sterrenkunde | Physics and Astronomy | Pre-Master's Physics and Astronomy: Neurophysics | Pre-Master's Physics and Astronomy: Particle and Astrophysics | Pre-Master's Physics and Astronomy: Physics of Molecules and Materials | Pre-Master's Two-year Educational Master's Physics | Pre-master Physics and Astronomy: Neurophysics | Pre-master Physics and Astronomy: Particle and Astrophysics | Pre-master Physics and Astronomy: Physics of Molecules and Materials | Pre-master Tweejarige Educatieve Master Natuurkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Mathematics,Wiskunde,Mathematics,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,56980,1001O6181,114A127,BACHELOR,180,Nijmegen,NLD,,3,Mathematics | Pre-Master's Mathematics | Pre-Master's Two-year Educational Master's Mathematics | Pre-master Mathematics | Pre-master Tweejarige Educatieve Master Wiskunde | Wiskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Tweejarige Educatieve Master Scheikunde,Chemistry,Chemistry,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,56943,1001O6126,114A127,BACHELOR,180,Nijmegen,ENG | NLD,,2,Chemistry | Pre-Master's Two-year Educational Master's Chemistry | Pre-master Tweejarige Educatieve Master Scheikunde | Scheikunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
European Law School,European Law School,European Law School,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,OPLEIDING,50017,1001O5640,114A123,BACHELOR,180,Nijmegen,NLD,,1,European Law School,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Fiscaal Recht,Rechtsgeleerdheid,Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,OPLEIDING,50700,1001O5731,114A123,BACHELOR,180,Nijmegen,NLD,,3,Law | Pre-Master's Private Law | Pre-Master's Public Law | Pre-Master's Tax Law | Pre-master Fiscaal Recht | Pre-master Privaatrecht | Pre-master Publiekrecht | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Notarieel Recht,Notarieel Recht,Notarial Law,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,OPLEIDING,56828,1001O6071,114A123,BACHELOR,180,Nijmegen,NLD,,1,Notarial Law | Notarieel Recht | Pre-Master's Notarial Law | Pre-master Notarieel Recht,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,56945,1001O6129,114A129,BACHELOR,180,Nijmegen,ENG,,5,Artificial Intelligence | Pre-Master's Artificial Intelligence: Cognitive Computing | Pre-Master's Artificial Intelligence: Human Centered Intelligent Systems | Pre-Master's Artificial Intelligence: Intelligent Technology | Pre-Master's Artificial Intelligence: Machine Learning and Neural Computing | Pre-master Artificial Intelligence: Cognitive Computing | Pre-master Artificial Intelligence: Human Centered Intelligent Systems | Pre-master Artificial Intelligence: Intelligent Technology | Pre-master Artificial Intelligence: Machine Learning and Neural Computing,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Communicatiewetenschap,Communicatiewetenschap,Communication Science,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,56615,1001O5961,114A129,BACHELOR,180,Nijmegen,NLD,,2,Communicatiewetenschap | Communication Science | Pre-Master's Communication Science | Pre-master Communicatiewetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Culturele Antropologie en Ontwikkelingssociologie,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,50035,1001O5655,114A129,BACHELOR,180,Nijmegen,ENG | NLD,,3,Cultural Anthropology and Development Sociology | Culturele Antropologie en Ontwikkelingssociologie | Pre-Master's Anthropology and Development Studies | Pre-Master's Intersectional Gender Studies | Pre-master Anthropology and Development Studies | Pre-master Intersectional Gender Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Humane Neurowetenschappen,Humane Neurowetenschappen,Human Neuroscience,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,59349,1001O8935,114A129,BACHELOR,180,Nijmegen,NLD,,1,Human Neuroscience | Humane Neurowetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
