programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Natuurkunde,Natuurkunde,Physics,Universiteit Leiden,OPLEIDING,50206,1001O5665,114A561,BACHELOR,180,Leiden,NLD,,1,Natuurkunde | Physics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandkunde,Nederlandkunde/Dutch Studies,Dutch Studies,Universiteit Leiden,OPLEIDING,56055,1001O5832,114A561,BACHELOR,180,Leiden,NLD,,1,Dutch Studies | Nederlandkunde | Nederlandkunde/Dutch Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Universiteit Leiden,OPLEIDING,56804,1001O5998,114A561,BACHELOR,180,Leiden,NLD,,1,Dutch Language and Culture | Nederlandse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Notarieel Recht,Notarieel Recht,Notarial Law,Universiteit Leiden,OPLEIDING,56828,1001O6067,114A561,BACHELOR,180,Leiden,NLD,,1,Notarial Law | Notarieel Recht,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Oude Nabije Oosten-studies,Oude Nabije Oosten-studies,Ancient Near Eastern Studies,Universiteit Leiden,OPLEIDING,56123,1001O5865,114A561,BACHELOR,180,Leiden,NLD,,1,Ancient Near Eastern Studies | Oude Nabije Oosten-studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pedagogische Wetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Universiteit Leiden,OPLEIDING,56607,1001O5943,114A561,BACHELOR,180,Leiden,NLD,,1,Pedagogical Sciences | Pedagogische Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Politicologie,Politicologie,Political Science,Universiteit Leiden,OPLEIDING,56606,1001O5939,114A561,BACHELOR,180,'s-Gravenhage | Leiden,NLD,,2,Political Science | Politicologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Psychologie,Psychologie,Psychology,Universiteit Leiden,OPLEIDING,56604,1001O5928,114A561,BACHELOR,180,Leiden,NLD,,1,Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Rechtsgeleerdheid,Rechtsgeleerdheid,,Universiteit Leiden,OPLEIDING,50700,1001O5724,114A561,BACHELOR,180,Leiden,NLD,,1,Law | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Religiewetenschappen,Religiewetenschappen,Religious Studies,Universiteit Leiden,OPLEIDING,50902,1001O5750,114A561,BACHELOR,180,Leiden,NLD,,1,Religiewetenschappen | Religious Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Russische Studies,Russische Studies,Russian Studies,Universiteit Leiden,OPLEIDING,50855,1001O5746,114A561,BACHELOR,180,Leiden,NLD,,1,Russian Studies | Russische Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Science for Sustainable Societies,Science for Sustainable Societies,Science for Sustainable Societies,Universiteit Leiden,OPLEIDING,50474,1001O8926,114A561,BACHELOR,180,Leiden,ENG,,1,Science for Sustainable Societies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Security Studies,Security Studies,Security Studies,Universiteit Leiden,OPLEIDING,59320,1001O6231,114A561,BACHELOR,180,'s-Gravenhage,ENG,,1,Security Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
South and Southeast Asian Studies,Zuid- en Zuidoost-Aziëstudies,South and Southeast Asian Studies,Universiteit Leiden,OPLEIDING,56099,1001O5848,114A561,BACHELOR,180,Leiden,ENG,,1,South and Southeast Asian Studies | Zuid- en Zuidoost-Aziëstudies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Sterrenkunde,Sterrenkunde,Astronomy,Universiteit Leiden,OPLEIDING,50205,1001O5663,114A561,BACHELOR,180,Leiden,NLD,,1,Astronomy | Sterrenkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Taalwetenschap,Taalwetenschap,Linguistics,Universiteit Leiden,OPLEIDING,56803,1001O5992,114A561,BACHELOR,180,Leiden,NLD,,1,Linguistics | Taalwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Urban Studies,Urban Studies,Urban Studies,Universiteit Leiden,OPLEIDING,59328,1001O6237,114A561,BACHELOR,180,'s-Gravenhage,ENG,,1,Urban Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Wiskunde,Wiskunde,Mathematics,Universiteit Leiden,OPLEIDING,56980,1001O6176,114A561,BACHELOR,180,Leiden,NLD,,1,Mathematics | Wiskunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
BA Cultuurwetenschappen,Cultuurwetenschappen,Arts and Culture,Universiteit Maastricht,OPLEIDING,50004,1001O5622,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://curriculum.maastrichtuniversity.nl/nl/onderwijs/bachelor/bachelor-arts-and-culture | https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/arts-and-culture | https://www.maastrichtuniversity.nl/nl/pre-master-arts-and-culture | https://www.maastrichtuniversity.nl/nl/pre-master-european-studies-society-science-and-technology | https://www.maastrichtuniversity.nl/nl/pre-master-globalisation-and-development-studies | https://www.maastrichtuniversity.nl/nl/pre-master-media-studies-digital-cultures | https://www.maastrichtuniversity.nl/node/382876,13,"Arts and Culture | BA Cultuurwetenschappen | Bachelor Arts and Culture | Bachelor Cultuurwetenschappen | Cultuurwetenschappen | Pre-master Art, Literature and Society | Pre-master Arts and Culture | Pre-master European Studies | Pre-master European Studies on Society, Science and Technology | Pre-master Globalisation and Development Studies | Pre-master Media Studies: Digital Cultures | Pre-master Politics and Society | Schakelprogramma Kunst en Erfgoed | Schakelprogramma Kunst, Literatuur en Samenleving | Schakelprogramma Politiek en Samenleving",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
BA Gezondheidswetenschappen,Gezondheidswetenschappen,Health Sciences,Universiteit Maastricht,OPLEIDING,56553,1001O5913,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/gezondheidswetenschappen,3,BA Gezondheidswetenschappen | Bachelor Gezondheidswetenschappen | Gezondheidswetenschappen | Health Sciences | Schakelprogramma Mental health,pilot-04,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Biomedische Wetenschappen,Biomedische Wetenschappen,Biomedical Sciences,Universiteit Maastricht,OPLEIDING,56990,1001O6205,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/biomedical-sciences,2,Bachelor Biomedische Wetenschappen | Biomedical Sciences | Biomedische Wetenschappen | Educatieve Module - Biologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Brain Science,Brain Science,Brain Science,Universiteit Maastricht,OPLEIDING,59347,1001O8867,113A920,BACHELOR,180,Maastricht,ENG,https://curriculum.maastrichtuniversity.nl/education/bachelor/brain-science,1,Bachelor Brain Science | Brain Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Business Analytics,Business Analytics,Business Analytics,Universiteit Maastricht,OPLEIDING,56856,1001O6108,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/business-analytics,1,Bachelor Business Analytics | Business Analytics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Business Engineering,Business Engineering,Business Engineering,Universiteit Maastricht,OPLEIDING,50769,1001O5744,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/business-engineering,1,Bachelor Business Engineering | Business Engineering,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Digital Society,Digital Society,Digital Society,Universiteit Maastricht,OPLEIDING,59337,1001O6244,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/digital-society,1,Bachelor Digital Society | Digital Society,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Econometrics and Operations Research,Econometrie en Operationele Research,Econometrics and Operations Research,Universiteit Maastricht,OPLEIDING,56833,1001O6078,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/econometrics-operations-research,2,Bachelor Econometrics and Operations Research | Econometrics and Operations Research | Econometrie en Operationele Research | Pre-master Econometrics and Operations Research,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Economics and Business Economics,Economie en Bedrijfseconomie,Economics and Business Economics,Universiteit Maastricht,OPLEIDING,50950,1001O5764,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/economics-and-business-economics | https://www.maastrichtuniversity.nl/pre-master-economics | https://www.maastrichtuniversity.nl/pre-master-economics-and-strategy-emerging-markets | https://www.maastrichtuniversity.nl/pre-master-financial-economics | https://www.maastrichtuniversity.nl/pre-master-human-decision-science,6,Bachelor Economics and Business Economics | Economics and Business Economics | Economie en Bedrijfseconomie | Pre-master Economics | Pre-master Economics and Strategy in Emerging Markets | Pre-master Financial Economics | Pre-master Human Decision Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor European Law School (Regular Track),European Law School,European Law School,Universiteit Maastricht,OPLEIDING,50017,1001O5639,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://curriculum.maastrichtuniversity.nl/education/bachelor/bachelor-european-law-school | https://www.maastrichtuniversity.nl/,2,Bachelor European Law School | Bachelor European Law School (Regular Track) | European Law School,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor European Public Health,European Public Health,European Public Health,Universiteit Maastricht,OPLEIDING,50296,1001O5673,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/european-public-health,1,Bachelor European Public Health | European Public Health,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor European Studies,Europese Studies,European Studies,Universiteit Maastricht,OPLEIDING,56051,1001O5829,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/european-studies,1,Bachelor European Studies | European Studies | Europese Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Fiscaal Recht,Fiscaal Recht,Tax Law,Universiteit Maastricht,OPLEIDING,56827,1001O6064,113A920,BACHELOR,180,Maastricht,NLD,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/fiscaal-recht | https://www.maastrichtuniversity.nl/nl/premaster-fiscaal-recht,3,Bachelor Fiscaal Recht | Fiscaal Recht | Pre-master Fiscaal Recht Traject 1 | Pre-master Fiscaal Recht Traject 2 | Tax Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Fiscal Economics,Fiscale Economie,Fiscal Economics,Universiteit Maastricht,OPLEIDING,56402,1001O5886,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/,1,Bachelor Fiscal Economics | Fiscal Economics | Fiscale Economie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Geneeskunde,Geneeskunde,Medicine,Universiteit Maastricht,OPLEIDING,56551,1001O5907,113A920,BACHELOR,180,Maastricht,NLD,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/geneeskunde,1,Bachelor Geneeskunde | Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Global Studies,Global Studies,Global Studies,Universiteit Maastricht,OPLEIDING,59339,1001O6246,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/global-studies,1,Bachelor Global Studies | Global Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor International Business,International Business,International Business,Universiteit Maastricht,OPLEIDING,50019,1001O5643,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/international-business | https://www.maastrichtuniversity.nl/pre-master-business-intelligence-and-smart-services | https://www.maastrichtuniversity.nl/pre-master-digital-business-and-economics | https://www.maastrichtuniversity.nl/pre-master-global-supply-chain-management-and-change | https://www.maastrichtuniversity.nl/pre-master-international-business | https://www.maastrichtuniversity.nl/pre-master-learning-and-development-organisations,17,"Bachelor International Business | International Business | Pre-master Business Intelligence and Smart Services | Pre-master Digital Business Economics | Pre-master Global Supply Chain Management and Change | Pre-master International Business specialisatie Accounting and Business Information Technology | Pre-master International Business specialisatie Entrepreneurship and Business Development | Pre-master International Business specialisatie Information Management and Business Intelligence | Pre-master International Business specialisatie Managerial Decision- Making and Control | Pre-master International Business specialisatie Marketing-Finance | Pre-master International Business specialisatie Organisation: Management, Change and Consultancy | Pre-master International Business specialisatie Strategic Corporate Finance | Pre-master International Business specialisatie Strategic Marketing | Pre-master International Business specialisatie Strategy and Innovation | Pre-master International Business specialisatie Supply Chain Management | Pre-master International Business specialisatie Sustainable Finance | Pre-master International Business specialisation Accounting and Business Information Technology | Pre-master International Business specialisation Accounting and Control | Pre-master International Business specialisation Information Management and Business Intelligence | Pre-master International Business specialisation Managerial Decision- Making and Control | Pre-master International Business specialisation Marketing-Finance | Pre-master International Business specialisation Organisation: Management, Change and Consultancy | Pre-master International Business specialisation Strategic Corporate Finance | Pre-master International Business specialisation Strategic Marketing | Pre-master International Business specialisation Supply Chain Management | Pre-master International Business specialisation Sustainable Finance | Pre-master Learning and Development in Organisations",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Liberal Arts and Sciences / University College Maastricht,Liberal Arts and Sciences,Liberal Arts and Sciences,Universiteit Maastricht,OPLEIDING,50393,1001O5683,113A920,BACHELOR,180,Maastricht | Venlo,ENG | NLD,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/maastricht-science-programme | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/university-college-maastricht | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/university-college-venlo | https://www.maastrichtuniversity.nl/pre-masters-health-food-innovation-management | https://wwwmaastrichtuniversity.nl,6,Bachelor Liberal Arts and Sciences / University College Maastricht | Bachelor Liberal Arts and Sciences / University College Venlo | Educatieve Module - Natuurkunde | Liberal Arts and Sciences | Liberal Arts and Sciences / Maastricht Science Programme | Pre-master Campus Venlo (Health Food Innovation Management),,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor of Science in Circular Engineering,Circular Engineering,Circular Engineering,Universiteit Maastricht,OPLEIDING,59341,1001O6248,113A920,BACHELOR,180,Maastricht,ENG,https://curriculum.maastrichtuniversity.nl/education/bachelor/circular-engineering,1,Bachelor of Science in Circular Engineering | Circular Engineering,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor of Science in Computer Science,Computer Science,Computer Science,Universiteit Maastricht,OPLEIDING,50426,1001O8805,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/computer-science,1,Bachelor of Science in Computer Science | Computer Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor of Science in Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Data Science and Artificial Intelligence,Universiteit Maastricht,OPLEIDING,50300,1001O5675,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl | https://www.maastrichtuniversity.nl/ | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/data-science-and-artificial-intelligence | https://www.maastrichtuniversity.nl/pre-master-msc-artificial-intelligence | https://www.maastrichtuniversity.nl/pre-master-msc-data-science-decision-making,5,Bachelor of Science in Data Science and Artificial Intelligence | Data Science and Artificial Intelligence | Educatieve Module - Wiskunde | Pre-master DKE (Artificial Intelligence) Pre-master DACS (Artificial Intelligence) | Pre-master DKE (Data Science for Decision Making) Pre-master DACS (Data Science for Decision Making) | Pre-master Responsible Data Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Psychologie,Psychologie,Psychology,Universiteit Maastricht,OPLEIDING,56604,1001O5933,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://curriculum.maastrichtuniversity.nl/education/bachelor/bachelor-psychology | https://curriculum.maastrichtuniversity.nl/nl/onderwijs/bachelor-psychologie | https://www.maastrichtuniversity.nl/nl/premaster-mental-health | https://www.maastrichtuniversity.nl/pre-master-psychology,5,Bachelor Psychologie | Bachelor Psychology English track | Pre-master Mental Health | Pre-master Psychologie | Pre-master Psychology | Pre-master psychologie | Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Rechtsgeleerdheid,Rechtsgeleerdheid,Dutch Law,Universiteit Maastricht,OPLEIDING,50700,1001O5728,113A920,BACHELOR,180,Maastricht,ENG | NLD,https://curriculum.maastrichtuniversity.nl/education/bachelor/bachelor-dutch-law | https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/rechtsgeleerdheid | https://www.maastrichtuniversity.nl/nl/pre-master-rechten | https://www.maastrichtuniversity.nl/pre-master-law,4,Bachelor Rechtsgeleerdheid | Dutch Law | Pre-master Law | Pre-master Recht (voor HBO-rechten afgestudeerden) (NL) | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Regenerative Medicine and Technology,Regenerative Medicine and Technology,Regenerative Medicine and Technology,Universiteit Maastricht,OPLEIDING,59346,1001O8844,113A920,BACHELOR,180,Maastricht,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/regenerative-medicine-and-technology,1,Bachelor Regenerative Medicine and Technology | Regenerative Medicine and Technology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Sustainable Bioscience,Sustainable Bioscience,Sustainable Bioscience,Universiteit Maastricht,OPLEIDING,50478,1016O2305,113A920,BACHELOR,180,,ENG,https://www.maastrichtuniversity.nl/nl/onderwijs/bachelor/programmas/sustainable-bioscience,1,Bachelor Sustainable Bioscience | Sustainable Bioscience,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Urban Sustainability Studies,Urban Sustainability Studies (joint degree),Urban Sustainability Studies (joint degree),Universiteit Maastricht,OPLEIDING,55031,1016O2836,113A920,BACHELOR,180,Heerlen,ENG,https://www.maastrichtuniversity.nl/education/bachelor/programmes/urban-sustainability-studies/admission-and-enrolment,1,Bachelor Urban Sustainability Studies | Urban Sustainability Studies (joint degree),,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bestuurs- en organisatiewetenschap,Bestuurs- en Organisatiewetenschap,Public Administration and Organisation Science,Universiteit Utrecht,OPLEIDING,50007,1001O5626,112A764,BACHELOR,180,,NLD,,1,Bestuurs- en Organisatiewetenschap | Bestuurs- en organisatiewetenschap | Public Administration and Organisation Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biomedische wetenschappen,Biomedische Wetenschappen,Biomedical Sciences,Universiteit Utrecht,OPLEIDING,56990,1001O6204,112A764,BACHELOR,180,,NLD,,1,Biomedical Sciences | Biomedische Wetenschappen | Biomedische wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Communicatie- en informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Universiteit Utrecht,OPLEIDING,56826,1001O6057,112A764,BACHELOR,180,,NLD,,1,Communicatie- en Informatiewetenschappen | Communicatie- en informatiewetenschappen | Communication and Information Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Diergeneeskunde,Diergeneeskunde,Veterinary Medicine,Universiteit Utrecht,OPLEIDING,56570,1001O5919,112A764,BACHELOR,180,,NLD,,1,Diergeneeskunde | Veterinary Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geneeskunde,Geneeskunde,Medicine,Universiteit Utrecht,OPLEIDING,56551,1001O5905,112A764,BACHELOR,180,,NLD,,1,Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Islam en Arabisch,Islam en Arabisch,Islam and Arabic,Universiteit Utrecht,OPLEIDING,56041,1001O5827,112A764,BACHELOR,180,,NLD,,1,Islam and Arabic | Islam en Arabisch,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Italiaanse taal en cultuur,Italiaanse Taal en Cultuur,Italian Language and Culture,Universiteit Utrecht,OPLEIDING,56809,1001O6024,112A764,BACHELOR,180,,NLD,,1,Italiaanse Taal en Cultuur | Italiaanse taal en cultuur | Italian Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Keltische talen en cultuur,Keltische Talen en Cultuur,Celtic Languages and Culture,Universiteit Utrecht,OPLEIDING,56091,1001O5845,112A764,BACHELOR,180,,NLD,,1,Celtic Languages and Culture | Keltische Talen en Cultuur | Keltische talen en cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstgeschiedenis,Kunstgeschiedenis,Art History,Universiteit Utrecht,OPLEIDING,56824,1001O6050,112A764,BACHELOR,180,,NLD,,1,Art History | Kunstgeschiedenis,pilot-05,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstmatige Intelligentie,Kunstmatige Intelligentie,Artificial Intelligence,Universiteit Utrecht,OPLEIDING,56981,1001O6183,112A764,BACHELOR,180,,NLD,,1,Artificial Intelligence | Kunstmatige Intelligentie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Literatuurwetenschap,Literatuurwetenschap,Literary Studies,Universiteit Utrecht,OPLEIDING,56802,1001O5989,112A764,BACHELOR,180,,NLD,,1,Literary Studies | Literatuurwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Media en cultuur,Media en Cultuur,Media and Culture,Universiteit Utrecht,OPLEIDING,50906,1001O5758,112A764,BACHELOR,180,,NLD,,1,Media and Culture | Media en Cultuur | Media en cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Molecular and Biophysical Life Sciences,Molecular and Biophysical Life Sciences,Molecular and Biophysical Life Sciences,Universiteit Utrecht,OPLEIDING,55825,1001O5804,112A764,BACHELOR,180,,ENG,,1,Molecular and Biophysical Life Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Muziekwetenschap,Muziekwetenschap,Musicology,Universiteit Utrecht,OPLEIDING,56700,1001O5975,112A764,BACHELOR,180,,NLD,,1,Musicology | Muziekwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Philosophy, Politics and Economics","Philosophy, Politics and Economics","Philosophy, Politics and Economics",Universiteit Utrecht,OPLEIDING,54999,1001O5778,112A764,BACHELOR,180,,ENG,,1,"Philosophy, Politics and Economics",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Rechtsgeleerdheid,Rechtsgeleerdheid,,Universiteit Utrecht,OPLEIDING,50700,1001O5726,112A764,BACHELOR,180,,NLD,,1,Rechtsgeleerdheid,pilot-06,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Taalwetenschap,Taalwetenschap,Linguistics,Universiteit Utrecht,OPLEIDING,56803,1001O5994,112A764,BACHELOR,180,,NLD,,1,Linguistics | Taalwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Zorg, Gezondheid & Samenleving","Zorg, Gezondheid & Samenleving",Clinical Sciences,Universiteit Utrecht,OPLEIDING,50981,1001O5777,112A764,BACHELOR,180,,NLD,,1,"Clinical Sciences | Zorg, Gezondheid & Samenleving",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Actuariële Wetenschappen,Actuariële Wetenschappen,Actuarial Science,Universiteit van Amsterdam,OPLEIDING,56411,1001O5889,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/bsc-actuarial-science | http://www.uva.nl/bsc-actuariele-wetenschappen,2,Actuarial Science | Actuariële Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Arabische Taal en Cultuur,Arabische Taal en Cultuur,Arabic Language and Culture,Universiteit van Amsterdam,OPLEIDING,56040,1001O5825,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-arabisch,1,Arabic Language and Culture | Arabische Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Archeologie,Archeologie,Archaeology,Universiteit van Amsterdam,OPLEIDING,56703,1001O5980,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/ba-archaeology | http://www.uva.nl/ba-archeologie,2,Archaeology | Archeologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bèta-gamma,Bèta-gamma,Natural and Social Sciences,Universiteit van Amsterdam,OPLEIDING,50250,1001O5668,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bg,1,Bèta-gamma | Natural and Social Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biologie,Biologie,Biology,Universiteit van Amsterdam,OPLEIDING,56860,1001O6121,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-biologie,1,Biologie | Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Biomedische Wetenschappen,Biomedische Wetenschappen,Biomedical Science,Universiteit van Amsterdam,OPLEIDING,56990,1001O6206,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-biomedisch,1,Biomedical Science | Biomedische Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Business Administration,Business Administration,Business Administration,Universiteit van Amsterdam,OPLEIDING,50897,1001O5748,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-business-administration | http://uva.nl/en/bsc-ba,2,Business Administration,pilot-08,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Business Analytics,Business Analytics,Business Analytics,Universiteit van Amsterdam,OPLEIDING,56856,1001O6109,113A697,BACHELOR,180,Amsterdam,ENG,https://www.uva.nl/bsc-business-analytics-en,1,Business Analytics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Cognition, Language and Communication","Cognition, Language and Communication","Cognition, Language and Communication",Universiteit van Amsterdam,OPLEIDING,59330,1001O6239,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-cognition-language-communication,1,"Cognition, Language and Communication",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Communicatiewetenschap,Communicatiewetenschap,Communication Science,Universiteit van Amsterdam,OPLEIDING,56615,1001O5959,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-communicatiewetenschap | http://uva.nl/bsc-communicationscience,3,Communicatiewetenschap | Communication Science | Global Communication Science,pilot-10,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Computational Social Science,Computational Social Science,Computational Social Science,Universiteit van Amsterdam,OPLEIDING,50980,1001O5776,113A697,BACHELOR,180,Amsterdam,ENG,https://www.uva.nl/en/programmes/bachelors/computational-social-science/computational-social-science.html,1,Computational Social Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
