ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,ERKENNER,NAAM_LANG,INTERNATIONALE_NAAM,BEGINDATUM,EINDDATUM,NIVEAU,GRAAD,STUDIELAST,EQF,NLQF,WAARDEDOCUMENTSOORT,PENVOERDER,EIGENNAAM,EIGENNAAM_DUITS,EIGENNAAM_ENGELS,VORM,VOERTAAL,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,DEFICIENTIE,EISEN_WERKZAAMHEDEN,PROPEDEUTISCHE_FASE,STUDIEKEUZECHECK,VERSNELD_TRAJECT,AANGEBODEN_OPLEIDINGCODE,EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIESTRAAT,ONDERWIJSLOCATIEPLAATS,OMSCHRIJVING
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5817,56034,,NVAO,Geschiedenis,History,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Geschiedenis,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,b49220e3-6bad-4151-bc7b-26353b11b190,b49220e3-6bad-4151-bc7b-26353b11b190,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5817,56034,,NVAO,Geschiedenis,History,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Geschiedenis,,,VOLTIJD,NLD,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,bca85496-aabf-4684-a7c9-c8f94ad39a36,bca85496-aabf-4684-a7c9-c8f94ad39a36,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5838,56081,,NVAO,Filosofie,Philosophy,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Filosofie,,,VOLTIJD,NLD,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,c2a1f8aa-50aa-4915-9af1-b8737d4efa4b,c2a1f8aa-50aa-4915-9af1-b8737d4efa4b,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5847,56098,,NVAO,Midden-Oostenstudies,Middle Eastern Studies,2012-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Midden-Oostenstudies,,,VOLTIJD,NLD,2012-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,682fe0e8-824a-4092-86e4-60eddcb11fe5,682fe0e8-824a-4092-86e4-60eddcb11fe5,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5855,56109,,NVAO,Theologie,Theology,2007-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Theologie,,,VOLTIJD,NLD,2007-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,28e85f49-4d08-4793-b0e8-70c2c7d6db09,28e85f49-4d08-4793-b0e8-70c2c7d6db09,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5866,56124,,NVAO,Europese Talen en Culturen,European Languages and Cultures,2013-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Europese Talen en Culturen,,,VOLTIJD,ENG,2013-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,82208812-6628-4218-9bc3-75899aa22507,82208812-6628-4218-9bc3-75899aa22507,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5866,56124,,NVAO,Europese Talen en Culturen,European Languages and Cultures,2013-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Europese Talen en Culturen,,,VOLTIJD,NLD,2013-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,ae66d52f-a2cd-4901-a3d9-758d1def7154,ae66d52f-a2cd-4901-a3d9-758d1def7154,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5867,56157,,NVAO,Farmacie,Pharmacy,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Farmacie,,,VOLTIJD,NLD,2025-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,2de276ca-433d-4a84-babe-b435e9555aab,2de276ca-433d-4a84-babe-b435e9555aab,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5869,56194,,NVAO,Spatial Planning and Design,Spatial Planning and Design,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Spatial Planning and Design,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,72204c16-0a8f-45c5-af36-dbb02f13ce44,72204c16-0a8f-45c5-af36-dbb02f13ce44,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5869,56194,,NVAO,Spatial Planning and Design,Spatial Planning and Design,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Spatial Planning and Design,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,72204c16-0a8f-45c5-af36-dbb02f13ce44,72204c16-0a8f-45c5-af36-dbb02f13ce44,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5871,56226,,NVAO,Biomedische Technologie,Biomedical Engineering,2020-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Biomedische Technologie,,,VOLTIJD,ENG,2020-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,d9269d1a-3824-4c3e-995b-4cccca0e0d5f,d9269d1a-3824-4c3e-995b-4cccca0e0d5f,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5871,56226,,NVAO,Biomedische Technologie,Biomedical Engineering,2020-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Biomedische Technologie,,,VOLTIJD,ENG,2020-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,d9269d1a-3824-4c3e-995b-4cccca0e0d5f,d9269d1a-3824-4c3e-995b-4cccca0e0d5f,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5878,56286,,NVAO,Life Science and Technology,Life Science and Technology,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Life Science and Technology,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,9f4f3fca-05c4-424b-a789-30599628e4fe,9f4f3fca-05c4-424b-a789-30599628e4fe,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5878,56286,,NVAO,Life Science and Technology,Life Science and Technology,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Life Science and Technology,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,9f4f3fca-05c4-424b-a789-30599628e4fe,9f4f3fca-05c4-424b-a789-30599628e4fe,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5904,56551,,NVAO,Geneeskunde,Medicine,2003-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Geneeskunde,,,VOLTIJD,NLD,2003-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,GEEN_STUDIEKEUZE_CHECK,GEEN_VERSNELD_TRAJECT,f3168827-5498-49fe-b6a3-de8e1d1770fd,f3168827-5498-49fe-b6a3-de8e1d1770fd,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5915,56560,,NVAO,Tandheelkunde,Dentistry,2004-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Tandheelkunde,,,VOLTIJD,NLD,2004-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,GEEN_STUDIEKEUZE_CHECK,GEEN_VERSNELD_TRAJECT,6e8348de-66e7-4c14-a350-eaf7036dc9fe,6e8348de-66e7-4c14-a350-eaf7036dc9fe,114X066,Broerstraat,Groningen,
