source_excel_row,source_registry_offering_count,AANGEBODEN_OPLEIDINGCODE,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,SOORT,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,NAAM_LANG,INTERNATIONALE_NAAM,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,BEGINDATUM,EINDDATUM,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIEPLAATS,raw_record_count,raw_csv_rows_json,raw_conflict_fields_json,raw_conflict_values_json
37,1,8cb1dc73-ece7-4219-b0b6-01d57d6c64ec,1001O5969,56627,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,Bestuurskunde,Public Administration,Bestuurskunde,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4045],[],{}
38,1,05ea9031-b36c-4e5c-95f9-99fbb803f137,1001O6234,59325,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,Biology,Biology,Biologie,VOLTIJD,ENG,180,2018-09-01,,2018-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4162],[],{}
39,1,4002ec00-fd34-4ac6-9406-995382c34bb7,1001O6208,56990,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A126,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,Biomedische Wetenschappen,Biomedical Sciences,Biomedische Wetenschappen,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,,,,,,114X875,Nijmegen,1,[4130],[],{}
40,1,52a19d2d-cc99-4cdd-910e-2af8d17c89ab,1015O6449,,56826,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Communicatie- en Informatiewetenschappen,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3985],[],{}
41,1,1c8b8b4c-cf63-4407-ae06-831a72b033fa,1001O5961,56615,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,Communicatiewetenschap,Communication Science,Communicatiewetenschap,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4293],[],{}
42,1,6d3cbfeb-8779-4bc5-b479-e36783d2fca8,1001O5655,50035,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Culturele Antropologie en Ontwikkelingssociologie,VOLTIJD,NLD,180,2009-09-01,,2009-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4283],[],{}
43,1,9a503cb2-0de0-46e8-a71e-da44dccea1c6,1001O6009,56805,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Duitse Taal en Cultuur,German Language and Culture,Duitse Taal en Cultuur,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3966],[],{}
44,1,ddca2e9f-7897-4322-aa62-964f4f9f85b6,1016O1029,,50950,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,Economics and Business Economics,Economics and Business Economics,Economics and Business Economics,VOLTIJD,ENG,180,,,2017-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4089],[],{}
45,1,e53a5e67-3fbc-4640-8668-f0a9e1e60700,1016O1030,,50950,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,Economie en Bedrijfseconomie,Economics and Business Economics,Economie en Bedrijfseconomie,VOLTIJD,NLD,180,,,2010-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4090],[],{}
46,1,e16c4706-23f7-496b-83b4-28b79d523657,1015O6456,,50290,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,English Language and Culture,English Language and Culture,English Language and Culture,VOLTIJD,ENG,180,,,2021-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3987],[],{}
