source_excel_row,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,NAAM_LANG,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,EINDDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,LAATSTE_INSTROOMDATUM,flag_codes_json,needs_resolution,resolution_case_ids_json
50,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A126,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,OPLEIDING,1001O5910,56551,,Geneeskunde,Geneeskunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
51,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,1001O6131,56947,,"Geografie, Planologie en Milieu","Geografie, Planologie en Milieu",VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
52,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6464,,56034,Geschiedenis,Geschiedenis,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
53,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,1001O5809,56003,,Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
54,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O8935,59349,,Humane Neurowetenschappen,Humane Neurowetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
55,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6235,59326,,Computing Science,Informatica,VOLTIJD,ENG,180,,,,"[""canonical_name_alias_present"",""missing_website"",""provider_differs_from_board""]",false,[]
56,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,VARIANT,1016O1159,,50645,International Business Administration,International Business Administration,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
57,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6450,,56826,International Business Communication,International Business Communication,VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
58,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,VARIANT,1016O6658 | 1016O6836,,50902,"Islam, Politiek en Samenleving","Islam, Politiek en Samenleving",VOLTIJD | DEELTIJD,NLD,180,,,,"[""missing_website"",""multi_offering_identity_sensitive"",""multiple_modes"",""multiple_offerings"",""multiple_programme_units"",""provider_differs_from_board"",""variant_record""]",true,"[""rc-0006""]"
59,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,1001O6053,56824,,Kunstgeschiedenis,Kunstgeschiedenis,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
